COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,3.2,1000231,2009-09-01,,CONT,1.0,3.0
VR,3,1000232,2009-08-25,,CONT,1.0,3.0
VR,0,1000235,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000236,2009-09-02,,CONT,1.0,3.0
VR,2.2,1000237,2009-09-04,,CONT,1.0,3.0
VR,2.1,1000240,2009-08-13,,CONT,1.0,3.0
VR,2,1000242,2009-08-13,,CONT,1.0,3.0
VR,2,1000243,2009-08-13,,CONT,1.0,3.0
VR,2.1,1000244,2009-08-13,,CONT,1.0,3.0
VR,2.2,1000245,2009-08-30,,CONT,1.0,3.0
VR,3.2.1,1000246,2009-09-03,,CONT,1.0,3.0
VR,0,1000248,2009-08-17,,CONT,1.0,3.0
VR,2.2,1000250,2009-09-08,,CONT,1.0,3.0
VR,3.1,1000251,2009-08-23,,CONT,1.0,3.0
VR,,1000252,2009-08-25,2015-04-30,CONT,,
VR,3.1,1000253,2009-08-23,,CONT,1.0,3.0
VR,2,1000255,2009-08-13,,CONT,1.0,3.0
VR,3.2,1000256,2009-08-30,,CONT,1.0,3.0
VR,2.2,1000257,2009-08-30,,CONT,1.0,3.0
VR,2,1000260,2009-08-11,,CONT,1.0,3.0
VR,2,1000261,2009-08-11,,CONT,1.0,3.0
VR,2.2,1000262,2009-09-04,,CONT,1.0,3.0
VR,2,1000263,2009-08-10,,CONT,1.0,3.0
VR,3.1,1000264,2009-08-23,,CONT,1.0,3.0
VR,3,1000265,2009-08-27,,CONT,1.0,3.0
VR,3,1000301,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2,1000318,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.2.1,1000329,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000359,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000388,2009-09-10,2011-11-01,SIN_CONT,,
VR,3.1,1000403,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000416,2009-09-10,2014-12-15,SIN_CONT,,
VR,2.1,1000432,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000493,2009-09-10,,SIN_CONT,1.0,3.0
VR,,1000509,2009-09-10,2011-02-01,SIN_CONT,,
VR,3.2.1,1000513,2009-09-10,,SIN_CONT,1.0,3.0
VR,3.1,1000530,2009-09-10,,SIN_CONT,1.0,3.0
