wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,locations
73.92,9.3,15.9,11.8,11.4,2021-02-25T00:00:00+01:00,9.9,,17.9,2.0,1614211200000,0.0,229.5,,0.0,1027.6,0.0,5.0,76.34,0.0,,Clear,0.5,,"39.2210171,-3.6185337"
61.33,10.8,18.0,12.3,20.8,2021-02-26T00:00:00+01:00,13.0,,41.9,4.0,1614297600000,0.0,300.7,"Mist, Fog",0.0,1026.7,0.0,6.3,75.9,0.0,,Partially cloudy,2.9,,"39.2210171,-3.6185337"
61.67,9.6,17.2,11.7,16.6,2021-02-27T00:00:00+01:00,12.2,,,4.1,1614384000000,0.0,282.4,,0.0,1024.5,0.0,3.4,70.02,0.0,,Clear,0.7,,"39.2210171,-3.6185337"
89.17,9.0,15.7,15.1,18.4,2021-02-28T00:00:00+01:00,12.1,,,2.7,1614470400000,0.0,279.5,"Mist, Rain, Light Rain",0.0,1020.3,0.0,3.6,71.45,0.0,,Clear,0.8,,"39.2210171,-3.6185337"
75.29,9.7,15.1,12.7,18.5,2021-03-01T00:00:00+01:00,9.0,,53.0,6.1,1614556800000,1.0,209.3,"Drizzle, Mist, Rain",0.0,1019.9,0.0,6.0,79.45,4.17,,"Rain, Partially cloudy",3.7,,"39.2210171,-3.6185337"
61.58,10.1,15.5,10.6,19.3,2021-03-02T00:00:00+01:00,13.1,,42.6,5.5,1614643200000,0.0,304.2,Mist,0.0,1025.1,0.0,7.1,82.81,0.0,,Partially cloudy,4.3,,"39.2210171,-3.6185337"
58.96,10.4,15.2,8.2,11.6,2021-03-03T00:00:00+01:00,10.5,,36.3,6.4,1614729600000,0.0,242.9,Mist,0.0,1027.4,0.0,7.9,85.65,0.0,,Partially cloudy,5.3,,"39.2210171,-3.6185337"
69.17,9.2,16.0,9.2,11.9,2021-03-04T00:00:00+01:00,13.5,,15.7,3.0,1614816000000,0.0,313.3,"Mist, Fog",0.0,1020.9,0.0,4.5,75.24,0.0,,Clear,1.7,,"39.2210171,-3.6185337"
71.83,8.1,15.1,11.5,8.8,2021-03-05T00:00:00+01:00,13.0,,36.4,0.8,1614902400000,0.0,301.4,Mist,0.0,1016.6,0.0,3.5,74.75,0.0,,Partially cloudy,2.3,,"39.2210171,-3.6185337"
65.42,10.4,17.4,15.2,16.6,2021-03-06T00:00:00+01:00,15.2,,,4.4,1614988800000,0.0,351.6,,0.0,1018.7,0.0,5.4,74.49,0.0,,Clear,3.2,,"39.2210171,-3.6185337"
81.67,9.5,12.9,11.4,9.4,2021-03-07T00:00:00+01:00,5.1,,,7.1,1615075200000,6.2,118.9,"Mist, Light Drizzle, Rain, Light Rain",0.0,1017.9,0.0,7.8,89.98,33.33,,Rain,6.8,,"39.2210171,-3.6185337"
148.63,7.4,11.7,9.7,17.2,2021-03-08T00:00:00+01:00,9.9,,77.7,3.2,1615161600000,0.6,229.6,"Drizzle, Mist, Rain, Light Drizzle/Rain, Fog, Light Rain, Sky Coverage Increasing",0.0,1015.1,0.0,5.4,87.85,8.33,,"Rain, Overcast",6.0,,"39.2210171,-3.6185337"
82.46,8.2,12.2,13.5,10.7,2021-03-09T00:00:00+01:00,9.2,,65.8,5.5,1615248000000,0.0,195.5,"Drizzle, Mist, Light Drizzle, Sky Coverage Decreasing",0.0,1017.9,0.0,5.5,83.94,0.0,,Partially cloudy,5.9,,"39.2210171,-3.6185337"
198.33,8.6,16.0,12.8,10.3,2021-03-10T00:00:00+01:00,17.8,,26.7,0.4,1615334400000,0.0,380.5,Mist,0.0,1023.6,0.0,2.7,70.65,0.0,,Partially cloudy,8.1,,"39.2210171,-3.6185337"
253.67,11.5,18.3,14.7,20.1,2021-03-11T00:00:00+01:00,17.4,,76.0,2.9,1615420800000,0.0,370.8,,0.0,1026.0,0.0,4.7,64.67,0.0,,Overcast,5.8,,"39.2210171,-3.6185337"
247.13,11.3,15.9,15.5,19.9,2021-03-12T00:00:00+01:00,10.3,,70.9,8.9,1615507200000,0.0,220.5,,0.0,1023.5,0.0,6.9,75.42,0.0,,Partially cloudy,7.4,,"39.2210171,-3.6185337"
245.65,10.4,18.2,19.9,13.0,2021-03-13T00:00:00+01:00,18.7,,,3.2,1615593600000,0.0,400.5,Mist,0.0,1023.5,0.0,2.8,63.28,0.0,,Clear,,,"39.2210171,-3.6185337"
78.7,10.4,17.2,20.0,11.2,2021-03-14T00:00:00+01:00,18.2,,,3.7,1615680000000,0.0,389.0,,0.0,1025.8,0.0,2.3,59.58,0.0,,Clear,8.7,,"39.2210171,-3.6185337"
104.13,10.3,18.1,15.1,11.0,2021-03-15T00:00:00+01:00,18.9,,8.0,1.6,1615766400000,0.0,404.0,,0.0,1024.8,0.0,0.8,56.24,0.0,,Clear,0.3,,"39.2210171,-3.6185337"
70.54,10.9,17.2,15.1,16.6,2021-03-16T00:00:00+01:00,19.0,,2.0,3.3,1615852800000,0.0,405.3,,0.0,1024.4,0.0,1.0,52.13,0.0,,Clear,1.9,,"39.2210171,-3.6185337"
60.63,11.5,19.0,15.1,19.6,2021-03-17T00:00:00+01:00,19.2,,8.0,2.2,1615939200000,0.0,411.2,,0.0,1022.5,0.0,2.1,55.94,0.0,,Clear,0.1,,"39.2210171,-3.6185337"
