Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-04 03:00:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 03:15:00+00:00,LS Urda,0.108609624,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 03:30:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 03:45:00+00:00,LS Urda,0.108609624,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 04:00:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 04:15:00+00:00,LS Urda,0.108609624,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 04:30:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 04:45:00+00:00,LS Urda,0.108609624,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 05:00:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 05:15:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 05:30:00+00:00,LS Urda,0.108609624,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 05:45:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 06:00:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 06:15:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 06:30:00+00:00,LS Urda,0.10339976,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 06:45:00+00:00,LS Urda,0.13005893,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 07:00:00+00:00,LS Urda,0.14947061,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 07:15:00+00:00,LS Urda,0.1776523,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 07:30:00+00:00,LS Urda,0.1776523,11000 Carretera Urda,22110000
